TitleId,CompMain,CompExtra,Comp100
1414793397,56,176,447
1464993869,10,18,30
1480659538,4,5,12
1414793199,8,28,0
1414596562,8,8,0
1481968054,11,16,32
1161890186,22,0,23
1414793294,9,12,21
1481968230,0,0,3
1129121791,17,21,29
1480657161,0,0,0
1096157318,0,0,0
1431504959,6,0,0
1128466479,10,12,18
1480657735,0,0,0
1480657500,4,8,9
1481968021,0,0,0
1096157480,0,0,0
1480657328,2,0,0
1480657462,0,4,7
1414596724,5,6,11
1146095618,4,6,8
1481968275,3,0,0
1129121801,16,20,26
1297549270,8,12,17
1481967993,0,0,0
1264125912,10,13,19
1229916116,18,23,36
1480657100,0,0,10
1161890230,46,53,0
1096157226,6,12,15
1161889777,5,0,0
1414596758,22,29,45
1146357716,12,13,14
1480659994,3,4,4
1161890044,14,22,0
1480659908,6,6,6
1480659655,3,4,5
1480659931,12,27,0
1297287135,46,57,98
1431504860,15,20,65
1161889798,13,26,57
1279330274,6,10,13
1480657063,0,0,0
1480659600,19,33,53
1464993845,12,24,40
1414596702,0,0,0
1480659518,11,11,13
1480657581,9,23,51
1480659417,6,6,8
1482164362,7,7,9
1481968265,0,0,0
1480657334,7,10,14
1161889872,6,8,12
1480657277,13,13,13
1480659536,6,9,38
1414596650,16,22,35
1195706322,4,0,0
1481968518,12,14,15
1161889779,0,0,0
1480660110,5,5,5
1229916113,8,11,15
1096157271,9,32,34
1129121758,12,13,16
1397032976,21,24,26
1480657005,2,3,3
1480659413,0,0,0
1112934368,0,0,0
1481968020,0,0,0
1480657014,5,6,6
1128466387,11,15,27
1096157432,12,72,550
1481115672,0,0,1
1480656851,0,0,0
1481968163,1,0,1
1161890046,19,20,141
1297287369,6,12,22
1414793170,0,0,1
1129121835,14,17,40
1480657112,3,0,0
1096222684,1,5,12
1481968200,4,5,7
1480657721,9,0,11
1480657339,6,10,15
1480656866,1,2,4
1096157348,0,0,0
1196951505,4,0,0
1480657757,5,8,11
1480657521,2,3,10
1128466460,16,19,31
1096157210,9,24,32
1112737763,12,18,37
1480657693,1,2,2
1431505102,10,22,39
1480657520,2,2,3
1480656922,1,1,5
1196427220,3,4,5
1480657794,0,0,0
1480657156,1,7,18
1481967928,4,5,7
1161890234,6,9,18
1263339517,25,41,54
1431505078,11,18,28
1480659581,0,0,0
1480657773,15,65,459
1414596564,10,0,0
1480657022,0,0,0
1263470550,13,15,18
1161889768,22,38,55
1481968004,0,0,0
1129711578,0,0,0
1229916136,1,2,0
1313671145,50,73,165
1480660124,40,86,103
1096288215,75,127,169
1362167764,10,12,17
1480659519,8,11,14
1397032916,10,16,45
1161889889,7,0,0
1481968001,4,6,17
1180043230,3,7,14
1448413156,7,9,11
1480657557,6,13,19
1481967984,2,4,15
1481968358,0,0,0
1263339495,9,10,17
1480657030,1,1,3
1480659435,8,13,28
1463158754,14,17,25
1397819427,13,22,35
1297287161,14,24,43
1161890246,13,20,34
1480657378,3,4,5
1179584473,0,0,0
1480657544,0,0,0
1431505028,11,14,22
1179584465,9,10,11
1480657084,0,0,0
1480657266,1,2,3
1414793262,0,0,0
1397819364,48,61,105
1481968447,8,18,44
1129121755,15,27,41
1146357713,19,22,29
1313671240,2,0,0
1096157247,5,7,12
1480659960,2,0,2
1161889984,49,72,105
1480656998,1,0,0
1480657772,4,9,13
1414596644,5,7,8
1129121826,10,15,0
1480659515,8,0,0
1179584493,16,19,25
1414793381,0,0,0
1096157158,6,8,16
1096157276,6,9,20
1414793358,25,51,100
1480657281,0,0,22
1481115667,0,0,1
1480657808,0,0,0
1414596782,0,15,27
1480657261,0,0,10
1263405039,8,8,0
1480657001,0,31,37
1396901858,10,16,19
