TitleId,CompMain,CompExtra,Comp100
1161887757,5,7,12
1161887810,10,13,19
1161887782,7,9,22
1431502902,6,7,0
1163067416,4,5,7
1414791169,10,0,0
1448411202,6,7,25
1296695305,8,8,9
1296695316,9,15,0
1094909965,0,0,0
1094909979,64,0,0
1094909987,0,0,0
1094909959,5,5,30
1094909974,14,0,0
1514405892,2,2,12
1094909954,2,0,0
1094909976,0,0,0
1094909980,0,0,0
1414594575,7,8,11
1096155197,4,0,6
1096155215,6,0,0
1431502915,3,0,0
1112735753,0,0,0
1112735764,6,0,0
1297285185,7,0,0
1431502934,0,0,0
1398079495,0,0,0
1162674177,1,0,0
1229717510,0,0,0
1229389845,0,13,15
1414332419,4,0,0
1297547266,0,2,8
1297547269,7,7,10
1414791304,0,0,0
1145241602,20,26,53
1229389945,0,0,0
1128464398,4,4,7
1414594821,6,7,8
1163067414,0,0,0
1163067405,4,0,0
1162674198,4,4,12
1229979658,12,16,57
1414725634,4,20,0
1448411178,1,0,3
1448411208,0,0,0
1161888649,7,9,9
1262616577,7,0,0
1431502876,6,0,0
1431502849,7,8,9
1229389840,5,5,0
1161887842,7,9,11
1448411151,0,0,0
1128464405,10,17,0
1431502872,11,12,13
1096155200,0,0,0
1162674178,4,5,0
1162674199,10,10,0
1161887801,3,4,5
1398079489,0,0,0
1398079496,0,0,0
1161887875,6,8,22
1096155141,6,7,0
1431502935,8,0,0
1297285139,10,10,13
1163067398,13,14,14
1297285136,6,8,30
1296695297,7,8,10
1296695309,9,10,10
1213530113,1,6,36
1094909966,6,20,23
1229717506,0,0,0
1095958529,0,0,0
1313669129,10,11,13
1112735762,0,0,0
1129119822,0,0,45
1414594589,10,10,10
1431502938,7,9,14
1431502908,8,10,14
1448476674,6,0,0
1297285150,7,10,17
1161887762,9,10,10
1448411141,9,11,0
1094909958,7,8,10
1094909977,10,15,21
1161887835,14,23,33
1161887862,17,20,33
1296367617,1,1,1
1096155198,4,6,9
1096155161,0,2,0
1096155218,2,3,10
1096155199,3,4,0
1096155184,4,5,0
1112735751,12,13,17
1096155217,7,8,8
1096155229,8,10,11
1096155178,7,6,7
1128464408,0,0,0
1128464409,0,0,0
1112342534,8,0,0
1414594802,6,9,10
1414791184,0,0,0
1263403053,12,17,29
1161887836,2,0,0
1161887761,4,5,5
1414791179,1,2,3
1396900096,30,0,0
1163067418,0,0,0
1414791297,5,0,0
1431502905,0,0,0
1262616581,4,6,0
1128464389,3,0,10
1162018817,6,0,0
